name,accuracy_test,accuracy train,precision,recall,F1 Score
LogisticRegression,0.8983035714285714,0.9534523809523809,0.8970915852307201,0.8972008053660876,0.8970888752864006
LogisticRegressionCV,0.9079166666666667,0.9396428571428571,0.9068558601230616,0.9068986526242391,0.9068022803787553
SVC,0.9423511904761904,0.9776190476190476,0.9418976672404462,0.9430267480511809,0.9421152952580891
MLPClassifier,0.9452678571428571,1.0,0.9447213228182347,0.9449192613175814,0.9447764801652418
