2.314000000000000000e+03,2.700000000000000000e+01,1.640000000000000000e+02,3.570000000000000000e+02,1.000000000000000000e+00,2.450000000000000000e+02,2.700000000000000000e+01,2.110000000000000000e+02,7.110000000000000000e+02,7.500000000000000000e+01
3.000000000000000000e+00,4.376000000000000000e+03,2.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.830000000000000000e+02,1.000000000000000000e+00,8.000000000000000000e+00
1.353000000000000000e+03,1.170000000000000000e+02,2.690000000000000000e+02,4.790000000000000000e+02,1.500000000000000000e+01,3.140000000000000000e+02,1.120000000000000000e+02,6.440000000000000000e+02,5.500000000000000000e+02,3.240000000000000000e+02
1.163000000000000000e+03,1.520000000000000000e+02,2.100000000000000000e+02,5.810000000000000000e+02,3.300000000000000000e+01,4.520000000000000000e+02,9.200000000000000000e+01,6.430000000000000000e+02,6.150000000000000000e+02,4.100000000000000000e+02
3.360000000000000000e+02,3.390000000000000000e+02,2.250000000000000000e+02,4.980000000000000000e+02,5.300000000000000000e+01,3.700000000000000000e+02,1.370000000000000000e+02,1.294000000000000000e+03,1.750000000000000000e+02,6.450000000000000000e+02
6.410000000000000000e+02,1.900000000000000000e+02,1.490000000000000000e+02,4.940000000000000000e+02,6.700000000000000000e+01,5.160000000000000000e+02,7.500000000000000000e+01,7.200000000000000000e+02,4.700000000000000000e+02,4.730000000000000000e+02
8.620000000000000000e+02,1.860000000000000000e+02,2.930000000000000000e+02,4.640000000000000000e+02,3.600000000000000000e+01,3.590000000000000000e+02,1.210000000000000000e+02,9.580000000000000000e+02,4.260000000000000000e+02,4.320000000000000000e+02
1.810000000000000000e+02,8.510000000000000000e+02,2.110000000000000000e+02,2.500000000000000000e+02,3.800000000000000000e+01,1.470000000000000000e+02,1.110000000000000000e+02,2.119000000000000000e+03,4.800000000000000000e+01,4.450000000000000000e+02
1.314000000000000000e+03,3.700000000000000000e+01,2.110000000000000000e+02,5.030000000000000000e+02,8.000000000000000000e+00,4.790000000000000000e+02,7.800000000000000000e+01,3.550000000000000000e+02,8.060000000000000000e+02,2.720000000000000000e+02
3.830000000000000000e+02,2.930000000000000000e+02,2.050000000000000000e+02,4.460000000000000000e+02,5.200000000000000000e+01,3.990000000000000000e+02,1.190000000000000000e+02,1.389000000000000000e+03,2.150000000000000000e+02,6.870000000000000000e+02
